time;model_id;model_name;port_name;data
0;395;883324;;2238740, 0, 0, 0, 0.00
0;396;883018;;2237737, 0, 0, 0, 0.00
0;397;881515;;2232750, 0, 0, 0, 0.00
0;398;883332;;2238748, 0, 0, 0, 0.00
0;399;883944;;2240753, 0, 0, 0, 0.00
0;400;884849;;2243745, 0, 0, 0, 0.00
0;401;880900;;2230737, 0, 0, 0, 0.00
0;402;892229;;2267751, 0, 0, 0, 0.00
0;403;891911;;2266744, 0, 0, 0, 0.00
0;404;882129;;2234749, 0, 0, 0, 0.00
0;405;888222;;2254749, 0, 0, 0, 0.00
0;406;887904;;2253739, 0, 0, 0, 0.00
0;407;884225;;2241730, 0, 0, 0, 0.00
0;408;888522;;2255741, 0, 0, 0, 0.00
0;409;883033;;2237752, 0, 0, 0, 0.00
0;410;881808;;2233741, 0, 0, 0, 0.00
0;411;885769;;2246750, 0, 0, 0, 0.00
0;412;888217;;2254744, 0, 0, 0, 0.00
0;413;882422;;2235747, 0, 0, 0, 0.00
0;414;886375;;2248744, 0, 0, 0, 0.00
0;415;882415;;2235740, 0, 0, 0, 0.00
0;416;673091;;80627, 0, 0, 0, 0.00
0;417;672998;;79966, 0, 0, 0, 0.00
0;418;883031;;2237750, 0, 0, 0, 0.00
0;419;674136;;88078, 0, 0, 0, 0.00
0;420;889442;;2258755, 0, 0, 0, 0.00
0;421;671860;;71612, 0, 0, 0, 0.00
0;422;673560;;83992, 0, 0, 0, 0.00
0;423;892843;;2269741, 0, 0, 0, 0.00
0;424;885452;;2245738, 0, 0, 0, 0.00
0;425;882717;;2236739, 0, 0, 0, 0.00
0;426;883322;;2238738, 0, 0, 0, 0.00
0;427;881212;;2231748, 0, 0, 0, 0.00
0;428;881206;;2231742, 0, 0, 0, 0.00
0;429;886989;;2250745, 0, 0, 0, 0.00
0;430;886995;;2250751, 0, 0, 0, 0.00
0;431;881499;;2232734, 0, 0, 0, 0.00
0;432;671691;;70369, 0, 0, 0, 0.00
0;433;884534;;2242735, 0, 0, 0, 0.00
0;434;884237;;2241742, 0, 0, 0, 0.00
0;435;883619;;2239732, 0, 0, 0, 0.00
0;436;880905;;2230742, 0, 0, 0, 0.00
0;437;881500;;2232735, 0, 0, 0, 0.00
0;438;887608;;2252750, 0, 0, 0, 0.00
0;439;882712;;2236734, 0, 0, 0, 0.00
0;440;881504;;2232739, 0, 0, 0, 0.00
0;441;881816;;2233749, 0, 0, 0, 0.00
0;442;884243;;2241748, 0, 0, 0, 0.00
